Lambda,phi_a,sigma_a,alpha,phi_b,sigma_b,weight
2.992810044237605,-0.09431076427955701,0.01050568675768368,2.9271042976698265,0.10312746824567158,0.019240782207989436,0.0
2.715503721611426,0.0748646700292666,0.1445764807802897,2.7060213025465814,0.05228351031071515,0.03346587574886018,0.0
2.4557114410217933,-0.09228950030142195,0.08921487553575609,2.8568248614915928,0.13267782493414224,0.053335569263737836,0.0
2.2325679127354214,0.09140909304954774,0.07495123667073053,2.8517027889934408,0.04430558849318512,0.05799804222122952,0.0
2.787586961090991,0.06079707474376718,0.0490240785227061,2.0085787963952226,0.027619667402981316,0.08194228729312004,0.0
2.9221878621014556,-0.04146467069854523,0.007113777777865253,1.511987006820892,0.14630186483965263,0.05948100949258204,0.0
2.553400659876833,-0.07722635391051991,0.14686880896667387,1.1284943643979113,0.09275418681582981,0.11408938360818861,0.0
2.307795546626631,0.02783220529177187,0.024439204072901833,2.506154644838012,0.10686662322686055,0.06976923991615701,0.0
2.7632054602518754,0.055203922080158355,0.07941168923469012,2.948172725091179,0.1262257484697967,0.06551164801623224,0.0
3.0414762824063946,-0.08188630040340227,0.016739818678391572,2.362741301858361,0.12971837290283816,0.028942284913603504,0.0
2.999311177757422,0.0027371600818279773,0.06274426353470382,1.5409111799132207,0.19250235636623003,0.11088686061221723,0.0
1.7610991853692282,-0.04433508485397138,0.15387018324728183,2.6718833710738092,0.0009489624461047574,0.053861762267069936,0.0
1.6488720404949573,-0.10441216833803973,0.06564238557597492,2.0997721420881437,0.09895325855010353,0.10097164252485918,0.0
2.9987300075307886,-0.09387923773652962,0.009306269659894112,2.7399734773997158,0.08539675260111258,0.013762220497672431,0.0
2.385340284135448,0.07816400255587065,0.0667477796715235,2.843790157914162,0.17859182766323398,0.0813509861419891,0.0
2.83502268224738,-0.09357181659310959,0.0166294103601107,0.4385234786389407,0.00769376962316115,0.11565965371413435,0.0
2.5803795267215164,-0.02941499593172954,0.05135227028967872,2.3719230273448573,0.20038603440122346,0.05555916699583084,0.0
3.070314025276547,0.08358207661752547,0.00895381189950504,2.457976055362453,0.033234026551353234,0.0574227538928287,0.0
2.5943676493052887,-0.09629713758504418,0.1534198215160611,1.1035667379386167,0.013865587979764086,0.04878335710887815,0.0
3.0272983704538174,0.010872157172443317,0.17637454992920754,1.779440179477843,0.18303582791865558,0.1252324104347245,0.0
2.9564852247217446,-0.0903496252831447,0.023087808596650904,2.7533296325945504,0.08412567917633106,0.013736453005906696,0.0
3.042066301519314,-0.06868495563375415,0.019975761157899508,1.164312117480054,0.12887042326905554,0.05617760703275231,0.0
3.0530917025389526,0.09555929489003591,0.17171084378966572,2.7723781956739235,0.11552729883015023,0.07713675529039382,0.0
2.7278414776482136,0.03635452385986267,0.0871620347832877,1.8467045447696293,0.04571803822760677,0.0451501799644219,0.0
2.3161668383577245,-0.07491811682872385,0.13560905924378913,1.7518373494331845,0.007024363019290054,0.03433350626586034,0.0
2.9823513964426502,0.0009358983522314984,0.008480300481907586,0.590033325559001,0.09466982736760228,0.0804362251841328,0.0
2.8853153273315715,-0.015747035902467663,0.023118126197219903,1.2665189999814073,0.027859252323707496,0.00786466584378702,0.0
2.42090577623239,0.03929576571055786,0.02430465626566882,1.819694656834965,0.12140977636946866,0.12382783390581066,0.0
2.835153349316767,-0.06962443021376186,0.01912871617504759,1.7266691419592353,0.1815660533956305,0.04779161990115147,0.0
2.759796308389147,0.05829962955679337,0.16095827663839588,2.5266624996027693,0.18190954547883367,0.09253439024489268,0.0
2.5368448420528473,-0.10493125745492031,0.007216478366868101,1.2403573296449149,0.026238608439443277,0.011617461428093485,0.0
1.242146040339546,-0.09283383309504442,0.028288748615549145,2.8795006865689885,0.02709898371718124,0.03175886506020842,0.0
1.471418766708285,-0.10827992396268118,0.00971321259352664,2.8536102134224732,0.06180643016099929,0.042117882034253505,0.0
3.0389731894180505,-0.09741749893016931,0.016237954931383948,2.984626556332113,0.1522019475026043,0.01749271124460687,0.0
2.7938149967981265,-0.05817715113523062,0.03716963546781211,2.1381947777961745,0.2219577466869744,0.03062049134853794,0.0
1.2013767683661776,-0.08265949809864348,0.02201203552352056,2.7114408746136998,0.05406300385807202,0.07326490459263467,0.0
1.9812146406448201,-0.06369313107175636,0.009722327854918503,1.0716606381089047,0.01886725097386053,0.09892878488815983,0.0
2.379904778787586,0.10110429476797823,0.01975112066505789,2.523258201340958,0.16324434865821494,0.06937542260099334,0.0
3.070289044299416,-0.02603414758105553,0.008851406440542272,2.3729275779904797,0.2055416895781794,0.012490255453764625,0.0
2.951796550596027,-0.029030537022796343,0.03713370853811372,1.9313221075664646,0.20832274550863117,0.0278450241034088,0.0
1.2432908483504737,-0.1081513771240033,0.01765564510315971,2.8158559519497377,0.018296923235907227,0.03704349586059307,0.0
2.1541792427336346,-0.0554901078987035,0.040117307420773386,1.5919222997909666,0.07938679369160644,0.05335839616453515,0.0
2.1498979100054756,0.02709043669053894,0.04754635342106954,1.9671487316963108,0.12926787935287626,0.12841494215151447,0.0
1.9646666860635098,-0.1091141970352872,0.013088490382963903,2.670765329086962,0.21258279454938814,0.10670919424010715,0.0
1.5861282902817335,-0.1092889734390348,0.04223240646715613,2.3922667672503986,0.016702131576407025,0.021722357182210203,0.0
2.5076302879878045,0.01272857777219362,0.012826492889811867,2.1538625023346047,0.07046142698377436,0.02646068408449726,0.0
1.9665228294727055,0.028136454349338716,0.012052070173367171,2.9862085179405162,0.00036265533355355986,0.0480480485201222,0.0
2.757351613114694,-0.004741330761336052,0.045181229647048224,0.8095080872382718,0.012168867964310564,0.09744138746872778,0.0
2.7642875130550935,-0.1115545379571003,0.02596390869045831,0.432364325525291,0.0973374197039822,0.12372094619115352,0.0
