phi,V,sigma,residual
0.06715474747474748,0.9530796409178406,0.099098100377221,0.1505828422487424
0.06955313131313132,0.9621384216212653,0.10273032190750565,0.11981548033368195
0.07195151515151516,0.9126467986573995,0.10628970795026552,0.031429351785814186
0.074349898989899,0.7746800767057964,0.10976851993434389,-0.1443069115476967
0.07674828282828283,1.0343360838066622,0.11316018268890962,0.07875234306114431
0.07914666666666667,1.0313009524886818,0.11645913799267361,0.04018434345998523
0.08154505050505051,1.096326634037417,0.11966061329572582,0.07076790857767268
0.08394343434343435,1.3105007729954767,0.12276053011147865,0.25179629686887606
0.08634181818181819,1.1769800552562675,0.1257553598208696,0.08605260439461948
0.08874020202020202,1.2208237077057866,0.12864206704528372,0.09891892213762588
0.09113858585858586,1.2948678905454132,0.13141798981647496,0.14313896415112426
0.0935369696969697,1.2096919792983207,0.13408084429021117,0.029309249374273927
0.09593535353535354,1.1807398528961275,0.13662860256847706,-0.027083530639802733
0.09833373737373738,1.1950572167842808,0.13905953010481692,-0.0390425024236416
0.10073212121212122,1.4307763831577005,0.14137206940672212,0.1715273780581279
0.10313050505050506,1.4182024489228324,0.14356487107675914,0.1350244902972828
0.1055288888888889,1.296551539591737,0.14563676724611008,-0.009282648050190856
0.10792727272727273,1.558713191116093,0.14758672172865692,0.23129648716426354
0.11032565656565657,1.4355365195775864,0.14941383755851276,0.08774652089852308
0.11272404040404041,1.2235288516440477,0.15111732033524078,-0.1434448451588397
0.11512242424242425,1.5352982910857502,0.15269649349089412,0.1504213400363763
0.11752080808080809,1.4366635315283185,0.15415077713371034,0.03513023652537428
0.11991919191919193,1.2656052652028524,0.15547968763314735,-0.15143073570826604
0.12231757575757576,1.5656752790242774,0.1566828245502775,0.13429705691666194
0.1247159595959596,1.441869333448164,0.15775983396990972,-0.0024829833840134263
0.12711434343434344,1.4440184645107363,0.15871047759491622,-0.012092244669164698
0.12951272727272728,1.6090765884787521,0.1595345558639441,0.1424884106838089
0.13191111111111112,1.1710020392160263,0.16023195604765583,-0.304693637776015
0.13430949494949496,1.3229221945831675,0.16080261129378445,-0.16066363764494906
0.1367078787878788,1.46453317778277,0.16124654463120627,-0.025697959340580834
