phi,V,sigma,residual
0.3339393939393939,0.6178753991600174,0.09046364987242524,-0.17422441564046465
0.3377777777777778,0.6521079451657583,0.08986297266071516,-0.14014619470739065
0.3416161616161616,0.7917491876115628,0.08927620876773838,-0.0006472704937857676
0.34545454545454546,0.6805443779007381,0.08870756475985593,-0.1119610261091718
0.34929292929292927,0.7274526707143592,0.08816145508599992,-0.06518298202181327
0.35313131313131313,0.7911486446001171,0.08764254328052738,-0.0015747471668219326
0.356969696969697,0.7250968087653519,0.08715580089395243,-0.06771645647797853
0.3608080808080808,0.6971767961005451,0.08670658719376921,-0.09573670054035799
0.36464646464646466,0.6625356294405595,0.08630076811586239,-0.13046158720565304
0.36848484848484847,0.6916092415084746,0.08594489397975177,-0.10144899456471645
0.37232323232323233,0.7284829499558134,0.08564649457231213,-0.0646304711299529
0.37616161616161614,0.8406812147266947,0.08541461568541281,0.04751812637824415
0.38,0.7814146579011014,0.08526101790813952,-0.01179099751611501
