Lambda4,eta,n,V0,weight
0.004873138810503676,0.05703256604153754,0.47144970034834055,-2.148791933187577,0.0
0.010046054108882468,0.28223215497579796,1.010883030062986,-2.146660368764232,0.0
0.00971434867380682,0.04607705546209971,0.8012336645121428,-2.153550157367614,0.0
2.5558808774645847,0.07981089048871684,0.17392776053314724,0.43380014981745507,0.0
0.0024159567636174006,0.011489210525101098,0.3368104999267483,-2.146244530610702,0.0
0.006744026133653065,0.01056243903381248,1.4989862474282984,-2.15235956172382,0.0
0.001327464059891482,0.10211654071357218,0.6968021233439071,-2.145170768181934,0.0
0.010400545901235988,0.3800207447755234,0.3777421030296199,-2.1479864400429167,0.0
0.009770478026886688,0.040959925858412675,1.5130070057769558,-2.156570755967751,0.0
0.0010599513993818646,0.09380548315933888,0.3862541668816658,-2.1437612503049914,0.0
0.00563303530068535,0.00803960341193805,0.06439030844411393,-2.1468324511882493,0.0
0.6444793365028535,0.10282358226688078,0.09541821582646638,2.1677240751993683,0.0
0.6398304878907208,0.030909045101638118,0.8553042291382553,2.027780214979936,0.0
0.001518727736883168,0.145633486085727,0.3473099419598103,-2.1409000518961605,0.0
0.000982227676280082,0.048432954070440244,1.3761359276784417,-2.1401951088691753,0.0
0.0031460209934180408,0.0174979384599181,1.1935831799177834,-2.1420341547441115,0.0
0.0010683995826795611,0.2604562827448084,0.6820937973446617,-2.1386687236463184,0.0
0.017916242724451168,0.11126942838959991,1.0827548055317784,-2.1519477710584765,0.0
0.004168902298381394,0.13537775658368545,1.2042266935027015,-2.1381812107029736,0.0
0.001949776492636451,0.37991216811489686,1.5337393431385127,-2.133867640919369,0.0
0.0011688713707915196,0.03888370267872803,0.3412690519328181,-2.133980619306696,0.0
0.001750787611443809,0.40557695777776415,1.0108244091359435,-2.1329544464594514,0.0
0.08915755425182888,0.35564289769217655,0.45276860578574485,-2.1647296506775104,0.0
0.008235389935472235,0.009789385604721815,0.29746478718448893,-2.139577749896573,0.0
0.01462649208994001,0.03515322775147269,0.5255296399219149,-2.1460516465394517,0.0
0.021005165902465144,0.08302586720803376,0.33207371651539064,-2.150524321119291,0.0
0.013397356725991842,0.2632356156477308,0.9796127257779441,-2.133985980818791,0.0
0.08348363965993912,0.26488463020984165,1.4492800371638659,-2.145507594682657,0.0
0.027139375018545454,0.010444711701113706,1.4055321875687012,-2.161471697080318,0.0
0.06294108639788289,0.3897479761733899,0.7175921667507317,-2.141854405834826,0.0
0.01981231117598652,0.1022607495224403,0.23674828125866448,-2.146938546037638,0.0
0.013020471835068239,0.16619727288531388,0.14070643470130645,-2.1398303064818376,0.0
0.017585203191826767,0.00982448004548683,1.2467139466229045,-2.1471559375184395,0.0
0.01173966263405555,0.3023523782432875,1.3192693137053213,-2.1293129210914254,0.0
0.09210688380542231,0.5579750534703027,1.2460810892838685,-2.1307668503477766,0.0
0.001915040694629069,0.16372348418255994,0.7353587369510275,-2.128242629952059,0.0
1.2752635630752251,0.06489239614299376,1.2603715777842788,1.4476403951359407,0.0
0.04760702991089501,0.14586588098605746,1.0133490676325863,-2.1586563160746595,0.0
2.5178441919606356,0.009786956592248732,0.3085487720369083,0.36659959203398085,0.0
0.0019765409506921528,0.03301032893883825,0.7093099435385013,-2.128323928629909,0.0
0.011322793248343361,0.025409149174835964,0.3260267533010311,-2.136727542669,0.0
0.08429766204965332,0.20233341232391214,0.7526984112933127,-2.1649825323390592,0.0
0.002010277924175589,0.012667572704915236,0.43145406491988164,-2.1275193406208217,0.0
0.0048716921599032325,0.012686816645563493,1.4130009007051298,-2.1308035023175877,0.0
0.1965760043012653,0.4055437926544784,1.3000530977412694,-2.138482044299269,0.0
0.002850102719066015,0.07441197089395919,0.3299149107029513,-2.1251497018410834,0.0
0.0010906490457664702,0.007808972187016191,0.7076398935636736,-2.1202795569009023,0.0
1.586971015769891,0.3202790965006259,0.0810125327020539,1.4891080637148075,0.0
0.0008953106421597147,0.03172768274413805,0.3491599695023295,-2.119017468702314,0.0
0.8704591837958273,0.028788020228274695,1.4827649744515907,1.3855217620079503,0.0
0.014159240718766166,0.2992055907702956,0.40453947000619683,-2.1231649037703715,0.0
1.2003239406951698,0.10434627612969477,0.5880753005885943,1.8011782383652823,0.0
1.7032897668860891,0.03582312647328853,0.36139936852585636,1.0041146093844677,0.0
0.0014299069563116864,0.09845292234780362,0.7940604210059614,-2.1155418775227246,0.0
0.024662923220149662,0.016339061293068998,1.1876248170523076,-2.1412193191589686,0.0
0.0012220656649706246,0.04429260390963724,0.3745957673426786,-2.1140360004815664,0.0
0.027353663274378225,0.03341150621478048,0.9614379741614216,-2.144820378963685,0.0
0.02967928947336183,0.04429581041586989,0.7359829707819621,-2.1393750142848518,0.0
0.0030434514287360714,0.07647569653236187,0.7250882650097332,-2.1128411442752593,0.0
0.013189220436128113,0.22961410900258253,0.11478089801108023,-2.1193796113321355,0.0
0.005426537545336027,0.011117874984734072,0.619605095637793,-2.1133338652939564,0.0
0.0023601269351575774,0.08001191624726775,0.27264819072098817,-2.1106465037001834,0.0
1.7810130990289548,0.1000019317119678,1.193906534845765,0.8608494113796361,0.0
